Player Name,Base Price,Type,Cost in Rs. (CR),2022 Squad,2023 Squad
Andrew Tye,10000000,BOWLER,,LSG,Unsold
Luke Wood,10000000,BOWLER,,,Unsold
Priyansh Arya,2000000,BATSMAN,,,Unsold
Matthew Breetzke,2000000,BATSMAN,,,Unsold
Shivam Chauhan,2000000,BATSMAN,,,Unsold
Rahul Gahlaut,2000000,BATSMAN,,,Unsold
Sudip Gharami,2000000,BATSMAN,,,Unsold
C. Hari Nishaanth,2000000,BATSMAN,,CSK,Unsold
Amandeep Khare,2000000,BATSMAN,,,Unsold
Bhanu Pania,2000000,BATSMAN,,,Unsold
Ekant Sen,2000000,BATSMAN,,,Unsold
Akash Singh,2000000,BATSMAN,,,Unsold
Himanshu Bisht,2000000,ALL-ROUNDER,,,Unsold
Mickil Jaiswal,2000000,ALL-ROUNDER,,,Unsold
G.Aniketh Reddy,2000000,ALL-ROUNDER,,,Unsold
Atit Sheth,2000000,ALL-ROUNDER,,,Unsold
M. Siddharth,2000000,ALL-ROUNDER,,,Unsold
Tanay Thyagarajann,2000000,ALL-ROUNDER,,,Unsold
Sumeet Verma,2000000,ALL-ROUNDER,,,Unsold
Sanjay Yadav,2000000,ALL-ROUNDER,,MI,Unsold
Ajitesh Guruswamy,2000000,WICKETKEEPER,,,Unsold
Yash Kothari,2000000,WICKETKEEPER,,,Unsold
Suresh Kumar,2000000,WICKETKEEPER,,,Unsold
Kumar Kushagra,2000000,WICKETKEEPER,,,Unsold
Anmol Malhotra,2000000,WICKETKEEPER,,,Unsold
Robin Minz,2000000,WICKETKEEPER,,,Unsold
Agniv Pan,2000000,WICKETKEEPER,,,Unsold
Priyesh Patel,2000000,WICKETKEEPER,,,Unsold
Mitesh Patel,2000000,WICKETKEEPER,,,Unsold
Abishek Porel,2000000,WICKETKEEPER,,,Unsold
Bharat Sharma,2000000,WICKETKEEPER,,,Unsold
Vivek Singh,2000000,WICKETKEEPER,,,Unsold
Abhijeet Tomar,2000000,WICKETKEEPER,,KKR,Unsold
Basit Bashir,2000000,BOWLER,,,Unsold
Nandre Burger,2000000,BOWLER,,,Unsold
Rasikh Dar,2000000,BOWLER,,KKR,Unsold
Sakib Hussain,2000000,BOWLER,,,Unsold
Waseem Khanday,2000000,BOWLER,,,Unsold
Ravi Kiran Majeti,2000000,BOWLER,,,Unsold
Lukman Hussain Meriwala,2000000,BOWLER,,,Unsold
Anuj Raj,2000000,BOWLER,,,Unsold
Ankit Singh Rajpoot,2000000,BOWLER,,LSG,Unsold
Prince Yadav,2000000,BOWLER,,,Unsold
Prithviraj Yarra,2000000,BOWLER,,,Unsold
Mushtaq Beg,2000000,BOWLER,,,Unsold
Rocky Bhasker,2000000,BOWLER,,,Unsold
Sanjith Devaraj,2000000,BOWLER,,,Unsold
Allah Mohammad,2000000,BOWLER,,,Unsold
Lalit Mohan,2000000,BOWLER,,,Unsold
Bhuwan Rohilla,2000000,BOWLER,,,Unsold
Aman Sharma,2000000,BOWLER,,,Unsold
Manav Suthar,2000000,BOWLER,,,Unsold
Tom Curran,7500000,ALL-ROUNDER,,,Unsold
Moises Henriques,10000000,ALL-ROUNDER,,,Unsold
Afif Hossain,5000000,ALL-ROUNDER,,,Unsold
Scott Kuggeleijn,5000000,ALL-ROUNDER,,,Unsold
Sisanda Magala,5000000,ALL-ROUNDER,,,Unsold
Craig Overton,20000000,ALL-ROUNDER,,,Unsold
Darcy Short,7500000,ALL-ROUNDER,,,Unsold
Dhananjaya Silva,5000000,ALL-ROUNDER,,,Unsold
Dunith Wellalage,5000000,ALL-ROUNDER,,,Unsold
Varun Aaron,5000000,BOWLER,,GT,Unsold
Sheldon Cottrel,5000000,BOWLER,,,Unsold
Nathan Coulter-Nile,1500000,BOWLER,,RR,Unsold
Daryn Dupavillon,5000000,BOWLER,,,Unsold
Matt Henry,10000000,BOWLER,,,Unsold
Dhawal Kulkarni,5000000,BOWLER,,,Unsold
Tymal Mills,20000000,BOWLER,,MI,Unsold
David Payne,7500000,BOWLER,,,Unsold
Barinder Sran,5000000,BOWLER,,,Unsold
Glenton Stuurman,5000000,BOWLER,,,Unsold
Anirudh Balachander,2000000,BATSMAN,,,Unsold
Gourav Choudhary,2000000,BATSMAN,,,Unsold
Saurav Chuahan,2000000,BATSMAN,,,Unsold
Kumar Deobrat,2000000,BATSMAN,,,Unsold
Chirag Gandhi,2000000,BATSMAN,,,Unsold
Arman Jaffer,2000000,BATSMAN,,,Unsold
Madhav Kaushik,2000000,BATSMAN,,,Unsold
Priyank Panchal,2000000,BATSMAN,,,Unsold
Ayush Pandey,2000000,BATSMAN,,,Unsold
Rohan Patil,2000000,BATSMAN,,,Unsold
Sanjay Ramaswamy,2000000,BATSMAN,,,Unsold
Siddharth Yadav,2000000,BATSMAN,,,Unsold
Rehan Ahmed,4000000,ALL-ROUNDER,,,Unsold
Prayas Barman,2000000,ALL-ROUNDER,,,Unsold
Rahul Buddhi,2000000,ALL-ROUNDER,,MI,Unsold
Vaisakh Chandran,2000000,ALL-ROUNDER,,,Unsold
Writtick Chatterjee,2000000,ALL-ROUNDER,,PBKS,Unsold
Prashant Chopra,2000000,ALL-ROUNDER,,,Unsold
Harsh Dubey,2000000,ALL-ROUNDER,,,Unsold
Tanush Kotian,2000000,ALL-ROUNDER,,,Unsold
Ninad Rathva,2000000,ALL-ROUNDER,,,Unsold
B. Surya,2000000,ALL-ROUNDER,,,Unsold
Jordan Thompson,4000000,ALL-ROUNDER,,,Unsold
Shivank Vashisth,2000000,ALL-ROUNDER,,,Unsold
Ankush Bains,2000000,WICKETKEEPER,,,Unsold
Christopher Benjamin,2000000,WICKETKEEPER,,,Unsold
Connor Esterhuizen,2000000,WICKETKEEPER,,,Unsold
Mohd Arslan Khan,2000000,WICKETKEEPER,,,Unsold
Mamidi Krishna,2000000,WICKETKEEPER,,,Unsold
Fazil Makaya,2000000,WICKETKEEPER,,,Unsold
Akshdeep Nath,2000000,WICKETKEEPER,,,Unsold
Deepak Punia,2000000,WICKETKEEPER,,,Unsold
Ateev Saini,2000000,WICKETKEEPER,,,Unsold
Bipin Saurabh,2000000,WICKETKEEPER,,,Unsold
B.R. Sharath,2000000,WICKETKEEPER,,,Unsold
Yashovardhan Singh,2000000,WICKETKEEPER,,,Unsold
Lakshay Thareja,2000000,WICKETKEEPER,,,Unsold
Mohit Avasthi,2000000,BOWLER,,,Unsold
Ottneil Baartman,2000000,BOWLER,,,Unsold
Gurnoor Singh Brar,2000000,BOWLER,,,Unsold
Shahrukh Dar,2000000,BOWLER,,,Unsold
Thomas Helm,4000000,BOWLER,,,Unsold
Pankaj Jaswal,2000000,BOWLER,,,Unsold
Venkatesh Muralidhara,2000000,BOWLER,,,Unsold
Geet Puri,2000000,BOWLER,,,Unsold
E. Sanketh,2000000,BOWLER,,,Unsold
Ajay Sarkar,2000000,BOWLER,,,Unsold
Ashok Sharma,2000000,BOWLER,,,Unsold
Kanwar Singh,2000000,BOWLER,,,Unsold
Fabian Allen,5000000,ALL-ROUNDER,,MI,Unsold
Carlos Brathwaite,7500000,ALL-ROUNDER,,,Unsold
Roston Chase,10000000,ALL-ROUNDER,,,Unsold
Rahkeem Cornwall,10000000,ALL-ROUNDER,,,Unsold
Karim Janat,5000000,ALL-ROUNDER,,,Unsold
Keshav Maharaj,5000000,ALL-ROUNDER,,,Unsold
Pawan Negi,5000000,ALL-ROUNDER,,,Unsold
Keemo Paul,5000000,ALL-ROUNDER,,,Unsold
Shivam Chaudhary,2000000,ALL-ROUNDER,,,Unsold
Ashwin Das,2000000,ALL-ROUNDER,,,Unsold
James Fuller,4000000,ALL-ROUNDER,,,Unsold
Chirag Jani,2000000,ALL-ROUNDER,,,Unsold
Akshay Karnewar,2000000,ALL-ROUNDER,,,Unsold
Bhagmender Lather,2000000,ALL-ROUNDER,,,Unsold
Lone Muzaffar,2000000,ALL-ROUNDER,,,Unsold
Pulkit Narang,2000000,ALL-ROUNDER,,,Unsold
Rohit Rayudu,2000000,ALL-ROUNDER,,,Unsold
Sameer Rizvi,2000000,ALL-ROUNDER,,,Unsold
Tunish Sawkar,2000000,ALL-ROUNDER,,,Unsold
Auqib Dar,2000000,BOWLER,,,Unsold
Mukhtar Hussain,2000000,BOWLER,,,Unsold
Ashwani Kumar,2000000,BOWLER,,,Unsold
Hemant Kumar,2000000,BOWLER,,,Unsold
Nathan McAndrew,2000000,BOWLER,,,Unsold
Rajesh Mohanty,2000000,BOWLER,,,Unsold
Ravi Sharma,2000000,BOWLER,,,Unsold
Vikash Singh,2000000,BOWLER,,,Unsold
Ruben Trumpelmann,2000000,BOWLER,,,Unsold
Koushik Vasuki,2000000,BOWLER,,,Unsold
Vasu Vats,2000000,BOWLER,,,Unsold
Shubham Agrawal,2000000,ALL-ROUNDER,,,Unsold
Baba Aparajith,2000000,ALL-ROUNDER,,,Unsold
Anshul Kamboj,2000000,ALL-ROUNDER,,,Unsold
Azim Kazi,2000000,ALL-ROUNDER,,,Unsold
Dev Lakra,2000000,ALL-ROUNDER,,,Unsold
Jitender Pal,2000000,ALL-ROUNDER,,,Unsold
Ritwik Roy Chowdhury,2000000,ALL-ROUNDER,,,Unsold
Utkarsh Singh,2000000,ALL-ROUNDER,,,Unsold
Shubham Singh,2000000,ALL-ROUNDER,,,Unsold
Avneesh Sudha,2000000,ALL-ROUNDER,,,Unsold
Asad Jamil Ahmed,2000000,BOWLER,,,Unsold
Bandaru Ayyappa,2000000,BOWLER,,,Unsold
Aashish Bhatt,2000000,BOWLER,,,Unsold
McKenny Clarke,2000000,BOWLER,,,Unsold
Shubham Kapse,2000000,BOWLER,,,Unsold
Gourav Koul,2000000,BOWLER,,,Unsold
Raunak Kumar,2000000,BOWLER,,,Unsold
Trilok Nag,2000000,BOWLER,,,Unsold
Atal Bihari Rai,2000000,BOWLER,,,Unsold
Ramon Simmonds,2000000,BOWLER,,,Unsold
Rajeev Singh,2000000,BOWLER,,,Unsold
Mohd. Wasim,2000000,BOWLER,,,Unsold
Atharva Ankolekar,2000000,ALL-ROUNDER,,,Unsold
Khizar Dafedar,2000000,ALL-ROUNDER,,,Unsold
Naman Dhir,2000000,ALL-ROUNDER,,,Unsold
Sahil Dhiwan,2000000,ALL-ROUNDER,,,Unsold
Sampark Gupta,2000000,ALL-ROUNDER,,,Unsold
Jordan Hermann,2000000,ALL-ROUNDER,,,Unsold
Hayden Kerr,2000000,ALL-ROUNDER,,,Unsold
Salman Khan,2000000,ALL-ROUNDER,,,Unsold
Sairaj Patil,2000000,ALL-ROUNDER,,,Unsold
Divyaansh Saxena,2000000,ALL-ROUNDER,,,Unsold
Purnank Tyagi,2000000,ALL-ROUNDER,,,Unsold
Prince Yadav,2000000,ALL-ROUNDER,,,Unsold
Deepraj Gaonkar,2000000,ALL-ROUNDER,,,Unsold
Shubham Garhwal,2000000,ALL-ROUNDER,,RR,Unsold
Benny Howell,4000000,ALL-ROUNDER,,PBKS,Unsold
Deepesh Nailwal,2000000,ALL-ROUNDER,,,Unsold
Arjun Rapria,2000000,ALL-ROUNDER,,,Unsold
Shashwat Rawat,2000000,ALL-ROUNDER,,,Unsold
Sumit Ruikar,2000000,ALL-ROUNDER,,,Unsold
Shivam Sharma,2000000,ALL-ROUNDER,,,Unsold
Rajandeep Singh,2000000,ALL-ROUNDER,,,Unsold
Anunay Singh,2000000,ALL-ROUNDER,,,Unsold
Digvesh Singh,2000000,ALL-ROUNDER,,,Unsold
Pranshu Vijayran,2000000,ALL-ROUNDER,,,Unsold
Prerit Dutta,2000000,ALL-ROUNDER,,,Unsold
Ramakrishna Ghosh,2000000,ALL-ROUNDER,,,Unsold
Shubhang Hegde,2000000,ALL-ROUNDER,,,Unsold
Shamshuzama Kazi,2000000,ALL-ROUNDER,,,Unsold
Ayaz Khan,2000000,ALL-ROUNDER,,,Unsold
Amit Pachhara,2000000,ALL-ROUNDER,,,Unsold
Akul Pandove,2000000,ALL-ROUNDER,,,Unsold
Garv Sangwan,2000000,ALL-ROUNDER,,,Unsold
Shubham Sharma,2000000,ALL-ROUNDER,,,Unsold
Amit Yadav,2000000,ALL-ROUNDER,,,Unsold
Amit Ali,2000000,ALL-ROUNDER,,,Unsold
Rishabh Chauhan,2000000,ALL-ROUNDER,,,Unsold
Matthew Forde,2000000,ALL-ROUNDER,,,Unsold
Sammar Gajjar,2000000,ALL-ROUNDER,,,Unsold
Rajneesh Gurbani,2000000,ALL-ROUNDER,,,Unsold
Divyansh Joshi,2000000,ALL-ROUNDER,,,Unsold
Dhruv Patel,2000000,ALL-ROUNDER,,,Unsold
Jack Prestwidge,2000000,ALL-ROUNDER,,,Unsold
Aditya Sarvate,2000000,ALL-ROUNDER,,,Unsold
Sagar Solanki,2000000,ALL-ROUNDER,,,Unsold
Prenelan Subrayen,2000000,ALL-ROUNDER,,,Unsold
